type_id;description_category_id;путь;тип товара;статус;ошибки
971892822;200001534;Аптека / Комплектующее для медицинского оборудования, техники, приборов / Комплектующие для медицинской техники;Комплектующие для медицинской техники;другая ошибка;error_card_with_deleted_photos:0
970961563;200001536;Аптека / Расходные материалы для оборудования, техники, приборов / Расходные материалы для рентгенологии;Расходные материалы для рентгенологии;другая ошибка;error_card_with_deleted_photos:0
971098208;52620255;Аптека / Медицинские приборы / Медицинский ростомер;Медицинский ростомер;другая ошибка;error_card_with_deleted_photos:0
971298192;52620255;Аптека / Медицинские приборы / Аппарат зуботехнический;Аппарат зуботехнический;другая ошибка;error_card_with_deleted_photos:0
252555517;52620255;Аптека / Медицинские приборы / Слуховой аппарат;Слуховой аппарат;другая ошибка;error_card_with_deleted_photos:0
971043353;52620255;Аптека / Медицинские приборы / Голосообразующий аппарат;Голосообразующий аппарат;другая ошибка;error_card_with_deleted_photos:0
971959765;52620255;Аптека / Медицинские приборы / Анализатор медицинский;Анализатор медицинский;другая ошибка;error_card_with_deleted_photos:0
971304484;52620255;Аптека / Медицинские приборы / Расходник для медицинских приборов;Расходник для медицинских приборов;не создано;
707801193;52620255;Аптека / Медицинские приборы / Галогенератор;Галогенератор;другая ошибка;error_card_with_deleted_photos:0
971749982;52620255;Аптека / Медицинские приборы / Капсулятор ручной;Капсулятор ручной;другая ошибка;error_card_with_deleted_photos:0
971824226;52620255;Аптека / Медицинские приборы / Ортодонтический прибор;Ортодонтический прибор;другая ошибка;error_card_with_deleted_photos:0
971167360;52620255;Аптека / Медицинские приборы / Коагулометр портативный;Коагулометр портативный;другая ошибка;error_card_with_deleted_photos:0
971452805;52620255;Аптека / Медицинские приборы / Подоскоп;Подоскоп;другая ошибка;error_card_with_deleted_photos:0
412778335;52620255;Аптека / Медицинские приборы / Рефлектор лобный;Рефлектор лобный;другая ошибка;error_card_with_deleted_photos:0
412623543;52620255;Аптека / Медицинские приборы / Диагностический фонарик;Диагностический фонарик;другая ошибка;error_card_with_deleted_photos:0
91860;52620255;Аптека / Медицинские приборы / Тонометр;Тонометр;другая ошибка;error_card_with_deleted_photos:0
412714295;52620255;Аптека / Медицинские приборы / Налобный осветитель;Налобный осветитель;другая ошибка;error_card_with_deleted_photos:0
91857;52620255;Аптека / Медицинские приборы / Стетоскоп;Стетоскоп;другая ошибка;error_card_with_deleted_photos:0
370309949;52620255;Аптека / Медицинские приборы / Пульсоксиметр;Пульсоксиметр;другая ошибка;error_card_with_deleted_photos:0
971081512;52620255;Аптека / Медицинские приборы / Расходные материалы для инфузионной системы;Расходные материалы для инфузионной системы;другая ошибка;error_card_with_deleted_photos:0
504866194;52620255;Аптека / Медицинские приборы / Дерматоскоп;Дерматоскоп;фото отклонено;DESCRIPTION_DECLINE:4194
970693057;52620255;Аптека / Медицинские приборы / Помпа микроинфузионная;Помпа микроинфузионная;другая ошибка;error_card_with_deleted_photos:0
970939575;52620255;Аптека / Медицинские приборы / Оборудование для слабовидящих;Оборудование для слабовидящих;не создано;
94570;52620255;Аптека / Медицинские приборы / Ланцеты для глюкометра;Ланцеты для глюкометра;не создано;
970827264;52620255;Аптека / Медицинские приборы / Измельчитель таблеток;Измельчитель таблеток;не создано;
504866193;52620255;Аптека / Медицинские приборы / Лупа бинокулярная;Лупа бинокулярная;другая ошибка;error_card_with_deleted_photos:0
91822;52620255;Аптека / Медицинские приборы / Глюкометр, датчик глюкозы;Глюкометр, датчик глюкозы;не создано;
94574;52620255;Аптека / Медицинские приборы / Полоски для глюкометра, коагулометра;Полоски для глюкометра, коагулометра;другая ошибка;error_card_with_deleted_photos:0
630450956;52620255;Аптека / Медицинские приборы / Отоскоп;Отоскоп;другая ошибка;error_card_with_deleted_photos:0
971228580;52620255;Аптека / Медицинские приборы / Стоматологический прибор;Стоматологический прибор;другая ошибка;error_card_with_deleted_photos:0
91824;52620255;Аптека / Медицинские приборы / Ингалятор;Ингалятор;не создано;
970824816;52620255;Аптека / Медицинские приборы / Инсулиновая помпа;Инсулиновая помпа;другая ошибка;error_card_with_deleted_photos:0
528186209;52620255;Аптека / Медицинские приборы / Усилитель звука;Усилитель звука;другая ошибка;error_card_with_deleted_photos:0
96493;52620255;Аптека / Медицинские приборы / Медицинский термометр;Медицинский термометр;другая ошибка;INCORRECT_DIMENSION:0
970904865;52620255;Аптека / Медицинские приборы / Монитор здоровья;Монитор здоровья;не создано;
91864;52620255;Аптека / Медицинские приборы / Устройство антихрап;Устройство антихрап;другая ошибка;INCORRECT_DIMENSION:0
91851;52620255;Аптека / Медицинские приборы / Пульсотахометр;Пульсотахометр;другая ошибка;error_card_with_deleted_photos:0
94569;200001548;Аптека / Массажеры, коврики, акупунктура / Грелка;Грелка;другая ошибка;error_card_with_deleted_photos:0
99046;200001548;Аптека / Массажеры, коврики, акупунктура / Массажные банки;Массажные банки;другая ошибка;error_card_with_deleted_photos:0
971082391;200001548;Аптека / Массажеры, коврики, акупунктура / Браслет медицинский;Браслет медицинский;другая ошибка;error_card_with_deleted_photos:0
